episode,step,reward,lives
0,0,0.0,5
0,1,0.0,5
0,2,0.0,5
0,3,0.0,5
0,4,0.0,5
0,5,0.0,5
0,6,0.0,5
0,7,0.0,5
0,8,0.0,5
0,9,0.0,5
0,10,0.0,5
0,11,0.0,5
0,12,0.0,5
0,13,0.0,5
0,14,0.0,5
0,15,0.0,5
0,16,0.0,5
0,17,0.0,5
0,18,0.0,5
0,19,0.0,5
0,20,0.0,5
0,21,0.0,5
0,22,0.0,5
0,23,0.0,5
0,24,0.0,5
0,25,0.0,5
0,26,0.0,5
0,27,0.0,5
0,28,0.0,5
0,29,0.0,4
1,0,0.0,4
1,1,0.0,4
1,2,0.0,4
1,3,0.0,4
1,4,0.0,4
1,5,0.0,4
1,6,0.0,4
1,7,0.0,4
1,8,0.0,4
1,9,0.0,4
1,10,0.0,4
1,11,0.0,4
1,12,0.0,4
1,13,0.0,4
1,14,0.0,4
1,15,0.0,4
1,16,0.0,4
1,17,0.0,4
1,18,0.0,4
1,19,0.0,4
1,20,0.0,4
1,21,0.0,4
1,22,0.0,4
1,23,0.0,4
1,24,0.0,4
1,25,0.0,4
1,26,0.0,4
1,27,0.0,4
1,28,0.0,4
1,29,0.0,4
1,30,0.0,4
1,31,0.0,4
1,32,0.0,4
1,33,0.0,4
1,34,0.0,4
1,35,0.0,4
1,36,0.0,4
1,37,0.0,4
1,38,1.0,4
1,39,0.0,4
1,40,0.0,4
1,41,0.0,4
1,42,0.0,4
1,43,0.0,4
1,44,0.0,4
1,45,0.0,4
1,46,0.0,4
1,47,0.0,4
1,48,0.0,4
1,49,0.0,4
1,50,0.0,4
1,51,0.0,4
1,52,0.0,4
1,53,0.0,4
1,54,0.0,4
1,55,0.0,4
1,56,0.0,4
1,57,0.0,4
1,58,0.0,4
1,59,0.0,4
1,60,0.0,4
1,61,0.0,4
1,62,0.0,4
1,63,0.0,4
1,64,0.0,4
1,65,0.0,4
1,66,0.0,4
1,67,0.0,4
1,68,0.0,4
1,69,0.0,3
2,0,0.0,3
2,1,0.0,3
2,2,0.0,3
2,3,0.0,3
2,4,0.0,3
2,5,0.0,3
2,6,0.0,3
2,7,0.0,3
2,8,0.0,3
2,9,0.0,3
2,10,0.0,3
2,11,0.0,3
